"","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","TotalBsmtSF","GrLivArea","FullBath","HalfBath","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","YrSold","SalePrice","LotShapes","LotConfigs","Neighborhoods","BldgTypes","HouseStyles","Exterior_1st","Foundations","BsmtFin_Type1","Kitchen_Qual","GarageTypes"
"1",65,8450,7,5,2003,2003,856,1710,2,1,3,8,0,2,2008,208500,"Reg","Inside","CollgCr","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"2",80,9600,6,8,1976,1976,1262,1262,2,0,3,6,1,2,2007,181500,"Reg","FR2","Veenker","1Fam","1Story","MetalSd","CBlock","ALQ","TA","Attchd"
"3",68,11250,7,5,2001,2002,920,1786,2,1,3,6,1,2,2008,223500,"IR1","Inside","CollgCr","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"4",60,9550,7,5,1915,1970,756,1717,1,0,3,7,1,3,2006,140000,"IR1","Corner","Crawfor","1Fam","2Story","Wd Sdng","BrkTil","ALQ","Gd","Detchd"
"5",84,14260,8,5,2000,2000,1145,2198,2,1,4,9,1,3,2008,250000,"IR1","FR2","NoRidge","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"6",85,14115,5,5,1993,1995,796,1362,1,1,1,5,0,2,2009,143000,"IR1","Inside","Mitchel","1Fam","1.5Fin","VinylSd","Wood","GLQ","TA","Attchd"
"7",75,10084,8,5,2004,2005,1686,1694,2,0,3,7,1,2,2007,307000,"Reg","Inside","Somerst","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"8",NA,10382,7,6,1973,1973,1107,2090,2,1,3,7,2,2,2009,200000,"IR1","Corner","NWAmes","1Fam","2Story","HdBoard","CBlock","ALQ","TA","Attchd"
"9",51,6120,7,5,1931,1950,952,1774,2,0,2,8,2,2,2008,129900,"Reg","Inside","OldTown","1Fam","1.5Fin","BrkFace","BrkTil","Unf","TA","Detchd"
"10",50,7420,5,6,1939,1950,991,1077,1,0,2,5,2,1,2008,118000,"Reg","Corner","BrkSide","2fmCon","1.5Unf","MetalSd","BrkTil","GLQ","TA","Attchd"
"11",70,11200,5,5,1965,1965,1040,1040,1,0,3,5,0,1,2008,129500,"Reg","Inside","Sawyer","1Fam","1Story","HdBoard","CBlock","Rec","TA","Detchd"
"12",85,11924,9,5,2005,2006,1175,2324,3,0,4,11,2,3,2006,345000,"IR1","Inside","NridgHt","1Fam","2Story","WdShing","PConc","GLQ","Ex","BuiltIn"
"13",NA,12968,5,6,1962,1962,912,912,1,0,2,4,0,1,2008,144000,"IR2","Inside","Sawyer","1Fam","1Story","HdBoard","CBlock","ALQ","TA","Detchd"
"14",91,10652,7,5,2006,2007,1494,1494,2,0,3,7,1,3,2007,279500,"IR1","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"15",NA,10920,6,5,1960,1960,1253,1253,1,1,2,5,1,1,2008,157000,"IR1","Corner","NAmes","1Fam","1Story","MetalSd","CBlock","BLQ","TA","Attchd"
"16",51,6120,7,8,1929,2001,832,854,1,0,2,5,0,2,2007,132000,"Reg","Corner","BrkSide","1Fam","1.5Unf","Wd Sdng","BrkTil","Unf","TA","Detchd"
"17",NA,11241,6,7,1970,1970,1004,1004,1,0,2,5,1,2,2010,149000,"IR1","CulDSac","NAmes","1Fam","1Story","Wd Sdng","CBlock","ALQ","TA","Attchd"
"18",72,10791,4,5,1967,1967,0,1296,2,0,2,6,0,2,2006,90000,"Reg","Inside","Sawyer","Duplex","1Story","MetalSd","Slab",NA,"TA","CarPort"
"19",66,13695,5,5,2004,2004,1114,1114,1,1,3,6,0,2,2008,159000,"Reg","Inside","SawyerW","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Detchd"
"20",70,7560,5,6,1958,1965,1029,1339,1,0,3,6,0,1,2009,139000,"Reg","Inside","NAmes","1Fam","1Story","BrkFace","CBlock","LwQ","TA","Attchd"
"21",101,14215,8,5,2005,2006,1158,2376,3,1,4,9,1,3,2006,325300,"IR1","Corner","NridgHt","1Fam","2Story","VinylSd","PConc","Unf","Gd","BuiltIn"
"22",57,7449,7,7,1930,1950,637,1108,1,0,3,6,1,1,2007,139400,"Reg","Inside","IDOTRR","1Fam","1.5Unf","Wd Sdng","PConc","Unf","Gd","Attchd"
"23",75,9742,8,5,2002,2002,1777,1795,2,0,3,7,1,2,2008,230000,"Reg","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"24",44,4224,5,7,1976,1976,1040,1060,1,0,3,6,1,2,2007,129900,"Reg","Inside","MeadowV","TwnhsE","1Story","CemntBd","PConc","GLQ","TA","Attchd"
"25",NA,8246,5,8,1968,2001,1060,1060,1,0,3,6,1,1,2010,154000,"IR1","Inside","Sawyer","1Fam","1Story","Plywood","CBlock","Rec","Gd","Attchd"
"26",110,14230,8,5,2007,2007,1566,1600,2,0,3,7,1,3,2009,256300,"Reg","Corner","NridgHt","1Fam","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"27",60,7200,5,7,1951,2000,900,900,1,0,3,5,0,2,2010,134800,"Reg","Corner","NAmes","1Fam","1Story","Wd Sdng","CBlock","BLQ","Gd","Detchd"
"28",98,11478,8,5,2007,2008,1704,1704,2,0,3,7,1,3,2010,306000,"Reg","Inside","NridgHt","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"29",47,16321,5,6,1957,1997,1484,1600,1,0,2,6,2,1,2006,207500,"IR1","CulDSac","NAmes","1Fam","1Story","MetalSd","CBlock","BLQ","TA","Attchd"
"30",60,6324,4,6,1927,1950,520,520,1,0,1,4,0,1,2008,68500,"IR1","Inside","BrkSide","1Fam","1Story","MetalSd","BrkTil","Unf","Fa","Detchd"
"31",NA,8544,5,6,1966,2006,1228,1228,1,1,3,6,0,1,2008,149350,"IR1","CulDSac","Sawyer","1Fam","1Story","HdBoard","CBlock","Unf","Gd","Attchd"
"32",85,11049,8,5,2007,2007,1234,1234,2,0,3,7,0,2,2008,179900,"Reg","Corner","CollgCr","1Fam","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"33",70,10552,5,5,1959,1959,1398,1700,1,1,4,6,1,2,2010,165500,"IR1","Inside","NAmes","1Fam","1Story","BrkFace","CBlock","Rec","Gd","Attchd"
"34",60,7313,9,5,2005,2005,1561,1561,2,0,2,6,1,2,2007,277500,"Reg","Inside","NridgHt","TwnhsE","1Story","MetalSd","PConc","GLQ","Ex","Attchd"
